Accuracy_Model_1,Accuracy_Model_2,Accuracy_Model_3,Accuracy_Model_4,Run,Model_training_time,Total_Time_Run,Method
1.0,0.9999670044328827,1.0,0.9999961744270008,1,61.35245704650879,291.94673347473145,parallel_method
1.0,0.9999760901687555,1.0,0.9999526585341361,1,85.60606861114502,717.0539906024933,non-parallel_method
1.0,0.9999515032838224,1.0,0.9999931372571447,2,63.30469846725464,287.7010586261749,parallel_method
1.0,0.9999656862857235,1.0,1.0,2,93.27264738082886,798.7921040058136,non-parallel_method
1.0,0.9999632555405064,1.0,0.9999599997023234,3,61.606881618499756,291.1463985443115,parallel_method
1.0,0.9999776742524595,1.0,0.999974883534017,3,91.19705939292908,792.1031315326691,non-parallel_method
1.0,0.999999082836804,1.0,0.999999082836804,4,58.94080877304077,283.96393060684204,parallel_method
1.0,0.999991286949639,1.0,1.0,4,88.32792830467224,790.290589094162,non-parallel_method
1.0,0.9999977487891862,1.0,0.9999792888605137,5,78.12856388092041,295.5668897628784,parallel_method
1.0,0.9999788386183509,1.0,1.0,5,95.13058304786682,764.4274022579193,non-parallel_method
1.0,0.99999489490702,1.0,1.0,6,60.59323167800903,286.1844291687012,parallel_method
1.0,0.9999624079516928,1.0,0.9999888616153164,6,90.05814862251282,727.9131829738617,non-parallel_method
1.0,0.999987466286632,1.0,0.9999967505187565,7,59.892462730407715,275.59776306152344,parallel_method
1.0,1.0,1.0,1.0,7,86.98251867294312,730.0585217475891,non-parallel_method
1.0,0.9999582508013527,1.0,0.9999935056802104,8,62.0702338218689,289.4730591773987,parallel_method
1.0,0.9999860836004509,1.0,0.9999614979612474,8,89.83271050453186,770.021026134491,non-parallel_method
1.0,0.9999951993156843,1.0,0.9999973814449187,9,93.49632573127747,350.4393663406372,parallel_method
1.0,0.9999847250953591,1.0,0.9999899622055216,9,102.62155556678772,875.8830845355988,non-parallel_method
1.0,0.9999914045779218,1.0,0.9999990449531024,10,104.01893925666809,314.5570378303528,parallel_method
1.0,0.9999918821013706,1.0,1.0,10,84.78633761405945,707.2404375076294,non-parallel_method
1.0,1.0,1.0,0.9999986117602417,11,62.73476815223694,326.6280562877655,parallel_method
1.0,0.9999870430955896,1.0,1.0,11,93.3404381275177,828.8704926967621,non-parallel_method
1.0,0.9999351040133265,1.0,0.9999780567527076,12,63.22681927680969,279.8608400821686,parallel_method
1.0,0.9999621829142407,1.0,0.999985993671941,12,88.17920303344727,800.4665064811707,non-parallel_method
1.0,0.9999627729531839,1.0,0.9999726687504389,13,60.790786027908325,266.71455430984497,parallel_method
1.0,0.9999514634706069,1.0,0.9999580606687768,13,88.07550573348999,784.1179645061493,non-parallel_method
1.0,0.999977928158504,1.0,0.9999713535674201,14,58.71943664550781,282.1058039665222,parallel_method
1.0,0.9999760497039086,1.0,0.9999708839537712,14,89.70706248283386,751.14159989357,non-parallel_method
1.0,0.9999985894440576,1.0,1.0,15,55.69964861869812,278.91608333587646,parallel_method
1.0,0.9999515709126438,1.0,0.9999877751818325,15,88.7475574016571,744.8578839302063,non-parallel_method
1.0,0.9999963462628435,1.0,1.0,16,63.77990388870239,302.4471836090088,parallel_method
1.0,0.9999913223742533,1.0,0.9999990865657109,16,95.71203279495239,876.5682697296143,non-parallel_method
1.0,0.9999982365205139,1.0,0.9999920643423126,17,62.76794958114624,298.9665458202362,parallel_method
1.0,0.9999973547807709,1.0,0.9999977956506424,17,91.90919041633606,811.6976647377014,non-parallel_method
1.0,0.9999938984925052,1.0,0.9999976532663482,18,57.57818055152893,252.86019253730774,parallel_method
1.0,1.0,1.0,0.999989674371932,18,85.51930141448975,666.2590427398682,non-parallel_method
1.0,1.0,1.0,1.0,19,63.37624263763428,313.7760064601898,parallel_method
1.0,0.9999945591876505,1.0,1.0,19,90.53286862373352,741.1389312744141,non-parallel_method
1.0,0.9999767986929312,1.0,0.9999860792157587,20,64.33580493927002,284.3816087245941,parallel_method
1.0,1.0,1.0,1.0,20,86.7978253364563,772.2123200893402,non-parallel_method
